,R_A,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10
BUSTED,,,,,,,,,,
BJ,,,,,,,,,,
H18,-0.6265153955124136,-0.6224386325591169,-0.6200049701422308,-0.6174618323275776,-0.6152595675854643,-0.6074790470922121,-0.5911438447496056,-0.5910558553059572,-0.6165284781520446,-0.6476708179945248
H19,-0.7247950665715192,-0.7290774545607014,-0.728032888342059,-0.7269371342373853,-0.7259912679055324,-0.7225542066143136,-0.715449729038331,-0.7136599836357029,-0.7155743825418586,-0.7294491384818971
H20,-0.8521389375830507,-0.85523026803892,-0.854976895592173,-0.8547102082333908,-0.8544804748772862,-0.85362794278134,-0.8518518233873444,-0.8514919189858489,-0.8508326033732889,-0.849028951287141
H21,,,,,,,,,,
P4,,,,,,,,,,
P6,,,,,,,,,,
P8,,,,,,,,,,
P10,,,,,,,,,,
P12,,,,,,,,,,
P14,,,,,,,,,,
P16,,,,,,,,,,
P18,,,,,,,,,,
P20,,,,,,,,,,
