,R_A,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10
BUSTED,,,,,,,,,,
BJ,,,,,,,,,,
H17,-1.114599848811469,-1.07230158785348,-1.0633483906165662,-1.0540229820093874,-1.045971259020747,-1.0175051840233629,-0.9669716637551262,-1.0119653492858953,-1.1073897804076944,-1.1689264411885094
H18,-1.2530307910248273,-1.2448772651182338,-1.2400099402844615,-1.2349236646551551,-1.2305191351709286,-1.2149580941844242,-1.1822876894992111,-1.1821117106119143,-1.2330569563040892,-1.2953416359890495
H19,-1.4495901331430383,-1.4581549091214028,-1.456065776684118,-1.4538742684747705,-1.4519825358110647,-1.4451084132286272,-1.430899458076662,-1.4273199672714059,-1.4311487650837171,-1.4588982769637941
H20,-1.7042778751661014,-1.71046053607784,-1.709953791184346,-1.7094204164667817,-1.7089609497545724,-1.70725588556268,-1.7037036467746889,-1.7029838379716977,-1.7016652067465778,-1.698057902574282
H21,,,,,,,,,,
P4,,,,,,,,,,
P6,,,,,,,,,,
P8,,,,,,,,,,
P10,,,,,,,,,,
P12,,,,,,,,,,
P14,,,,,,,,,,
P16,,,,,,,,,,
P18,,,,,,,,,,
P20,,,,,,,,,,
